district,hour,hour_cases,hour_ratio,hour_risk_score
中區,0,4,3.81,0.91
中區,1,4,3.81,0.91
中區,2,5,4.76,1.14
中區,3,4,3.81,0.91
中區,4,4,3.81,0.91
中區,5,3,2.86,0.69
中區,6,3,2.86,0.69
中區,7,10,9.52,2.29
中區,8,2,1.9,0.46
中區,9,5,4.76,1.14
中區,10,4,3.81,0.91
中區,11,4,3.81,0.91
中區,12,7,6.67,1.6
中區,13,2,1.9,0.46
中區,14,5,4.76,1.14
中區,15,4,3.81,0.91
中區,16,3,2.86,0.69
中區,17,3,2.86,0.69
中區,18,5,4.76,1.14
中區,19,3,2.86,0.69
中區,20,6,5.71,1.37
中區,21,6,5.71,1.37
中區,22,3,2.86,0.69
中區,23,6,5.71,1.37
北區,0,10,3.02,0.73
北區,1,6,1.81,0.44
北區,2,10,3.02,0.73
北區,3,11,3.32,0.8
北區,4,10,3.02,0.73
北區,5,11,3.32,0.8
北區,6,13,3.93,0.94
北區,7,12,3.63,0.87
北區,8,11,3.32,0.8
北區,9,16,4.83,1.16
北區,10,20,6.04,1.45
北區,11,14,4.23,1.02
北區,12,20,6.04,1.45
北區,13,19,5.74,1.38
北區,14,14,4.23,1.02
北區,15,19,5.74,1.38
北區,16,19,5.74,1.38
北區,17,15,4.53,1.09
北區,18,11,3.32,0.8
北區,19,19,5.74,1.38
北區,20,16,4.83,1.16
北區,21,11,3.32,0.8
北區,22,14,4.23,1.02
北區,23,10,3.02,0.73
北屯區,0,6,2.25,0.54
北屯區,1,12,4.49,1.08
北屯區,2,6,2.25,0.54
北屯區,3,4,1.5,0.36
北屯區,4,9,3.37,0.81
北屯區,5,8,3.0,0.72
北屯區,6,8,3.0,0.72
北屯區,7,13,4.87,1.17
北屯區,8,10,3.75,0.9
北屯區,9,16,5.99,1.44
北屯區,10,10,3.75,0.9
北屯區,11,13,4.87,1.17
北屯區,12,14,5.24,1.26
北屯區,13,13,4.87,1.17
北屯區,14,12,4.49,1.08
北屯區,15,11,4.12,0.99
北屯區,16,9,3.37,0.81
北屯區,17,17,6.37,1.53
北屯區,18,20,7.49,1.8
北屯區,19,12,4.49,1.08
北屯區,20,12,4.49,1.08
北屯區,21,14,5.24,1.26
北屯區,22,13,4.87,1.17
北屯區,23,4,1.5,0.36
北屯區,43,1,0.37,0.09
南區,0,4,2.44,0.59
南區,1,6,3.66,0.88
南區,2,6,3.66,0.88
南區,3,5,3.05,0.73
南區,4,2,1.22,0.29
南區,5,6,3.66,0.88
南區,6,5,3.05,0.73
南區,7,11,6.71,1.61
南區,8,9,5.49,1.32
南區,9,14,8.54,2.05
南區,10,4,2.44,0.59
南區,12,11,6.71,1.61
南區,13,13,7.93,1.9
南區,14,9,5.49,1.32
南區,15,4,2.44,0.59
南區,16,4,2.44,0.59
南區,17,9,5.49,1.32
南區,18,7,4.27,1.02
南區,19,7,4.27,1.02
南區,20,7,4.27,1.02
南區,21,7,4.27,1.02
南區,22,6,3.66,0.88
南區,23,8,4.88,1.17
南屯區,0,11,7.33,1.76
南屯區,1,7,4.67,1.12
南屯區,2,8,5.33,1.28
南屯區,3,5,3.33,0.8
南屯區,4,8,5.33,1.28
南屯區,5,4,2.67,0.64
南屯區,6,8,5.33,1.28
南屯區,7,7,4.67,1.12
南屯區,8,8,5.33,1.28
南屯區,9,5,3.33,0.8
南屯區,10,10,6.67,1.6
南屯區,11,5,3.33,0.8
南屯區,12,6,4.0,0.96
南屯區,13,6,4.0,0.96
南屯區,14,10,6.67,1.6
南屯區,15,9,6.0,1.44
南屯區,16,7,4.67,1.12
南屯區,17,4,2.67,0.64
南屯區,18,8,5.33,1.28
南屯區,19,2,1.33,0.32
南屯區,20,6,4.0,0.96
南屯區,21,2,1.33,0.32
南屯區,22,2,1.33,0.32
南屯區,23,2,1.33,0.32
后里區,1,2,5.56,1.33
后里區,2,2,5.56,1.33
后里區,3,1,2.78,0.67
后里區,5,1,2.78,0.67
后里區,6,4,11.11,2.67
后里區,7,1,2.78,0.67
后里區,8,3,8.33,2.0
后里區,9,2,5.56,1.33
后里區,10,1,2.78,0.67
后里區,11,2,5.56,1.33
后里區,12,2,5.56,1.33
后里區,13,2,5.56,1.33
后里區,14,1,2.78,0.67
后里區,15,2,5.56,1.33
后里區,16,3,8.33,2.0
后里區,18,1,2.78,0.67
后里區,19,2,5.56,1.33
后里區,20,1,2.78,0.67
后里區,21,1,2.78,0.67
后里區,22,2,5.56,1.33
和平區,5,1,20.0,4.8
和平區,14,1,20.0,4.8
和平區,17,1,20.0,4.8
和平區,18,1,20.0,4.8
和平區,19,1,20.0,4.8
外埔區,3,2,11.76,2.82
外埔區,4,1,5.88,1.41
外埔區,5,2,11.76,2.82
外埔區,6,1,5.88,1.41
外埔區,8,1,5.88,1.41
外埔區,9,2,11.76,2.82
外埔區,12,1,5.88,1.41
外埔區,15,3,17.65,4.24
外埔區,17,1,5.88,1.41
外埔區,18,1,5.88,1.41
外埔區,21,2,11.76,2.82
大安區,7,1,12.5,3.0
大安區,8,1,12.5,3.0
大安區,10,1,12.5,3.0
大安區,13,1,12.5,3.0
大安區,15,2,25.0,6.0
大安區,21,1,12.5,3.0
大安區,22,1,12.5,3.0
大甲區,1,2,2.74,0.66
大甲區,2,3,4.11,0.99
大甲區,3,5,6.85,1.64
大甲區,4,3,4.11,0.99
大甲區,5,5,6.85,1.64
大甲區,7,4,5.48,1.32
大甲區,8,3,4.11,0.99
大甲區,9,2,2.74,0.66
大甲區,10,3,4.11,0.99
大甲區,11,2,2.74,0.66
大甲區,12,1,1.37,0.33
大甲區,13,2,2.74,0.66
大甲區,14,2,2.74,0.66
大甲區,15,5,6.85,1.64
大甲區,16,5,6.85,1.64
大甲區,17,7,9.59,2.3
大甲區,18,2,2.74,0.66
大甲區,19,3,4.11,0.99
大甲區,20,4,5.48,1.32
大甲區,21,3,4.11,0.99
大甲區,22,4,5.48,1.32
大甲區,23,3,4.11,0.99
大肚區,0,2,4.44,1.07
大肚區,1,3,6.67,1.6
大肚區,2,1,2.22,0.53
大肚區,3,3,6.67,1.6
大肚區,4,1,2.22,0.53
大肚區,5,2,4.44,1.07
大肚區,6,3,6.67,1.6
大肚區,7,2,4.44,1.07
大肚區,8,1,2.22,0.53
大肚區,9,1,2.22,0.53
大肚區,11,1,2.22,0.53
大肚區,12,1,2.22,0.53
大肚區,13,2,4.44,1.07
大肚區,15,2,4.44,1.07
大肚區,16,2,4.44,1.07
大肚區,17,3,6.67,1.6
大肚區,19,5,11.11,2.67
大肚區,20,6,13.33,3.2
大肚區,21,2,4.44,1.07
大肚區,22,2,4.44,1.07
大里區,0,5,2.69,0.65
大里區,1,8,4.3,1.03
大里區,2,12,6.45,1.55
大里區,3,7,3.76,0.9
大里區,4,2,1.08,0.26
大里區,5,9,4.84,1.16
大里區,6,8,4.3,1.03
大里區,7,14,7.53,1.81
大里區,8,12,6.45,1.55
大里區,9,6,3.23,0.77
大里區,10,11,5.91,1.42
大里區,11,11,5.91,1.42
大里區,12,8,4.3,1.03
大里區,13,6,3.23,0.77
大里區,14,2,1.08,0.26
大里區,15,11,5.91,1.42
大里區,16,1,0.54,0.13
大里區,17,11,5.91,1.42
大里區,18,8,4.3,1.03
大里區,19,13,6.99,1.68
大里區,20,5,2.69,0.65
大里區,21,4,2.15,0.52
大里區,22,9,4.84,1.16
大里區,23,3,1.61,0.39
大雅區,0,3,2.78,0.67
大雅區,1,6,5.56,1.33
大雅區,2,5,4.63,1.11
大雅區,3,4,3.7,0.89
大雅區,4,2,1.85,0.44
大雅區,5,2,1.85,0.44
大雅區,7,11,10.19,2.44
大雅區,8,6,5.56,1.33
大雅區,9,7,6.48,1.56
大雅區,10,6,5.56,1.33
大雅區,11,3,2.78,0.67
大雅區,12,5,4.63,1.11
大雅區,13,4,3.7,0.89
大雅區,14,6,5.56,1.33
大雅區,15,2,1.85,0.44
大雅區,16,5,4.63,1.11
大雅區,17,4,3.7,0.89
大雅區,18,7,6.48,1.56
大雅區,19,5,4.63,1.11
大雅區,20,4,3.7,0.89
大雅區,21,2,1.85,0.44
大雅區,22,4,3.7,0.89
大雅區,23,5,4.63,1.11
太平區,0,6,3.75,0.9
太平區,1,3,1.88,0.45
太平區,2,6,3.75,0.9
太平區,3,15,9.38,2.25
太平區,4,5,3.12,0.75
太平區,5,5,3.12,0.75
太平區,6,4,2.5,0.6
太平區,7,8,5.0,1.2
太平區,8,12,7.5,1.8
太平區,9,10,6.25,1.5
太平區,10,4,2.5,0.6
太平區,11,5,3.12,0.75
太平區,12,5,3.12,0.75
太平區,13,7,4.38,1.05
太平區,14,8,5.0,1.2
太平區,15,10,6.25,1.5
太平區,16,7,4.38,1.05
太平區,17,9,5.62,1.35
太平區,18,6,3.75,0.9
太平區,19,4,2.5,0.6
太平區,20,7,4.38,1.05
太平區,21,5,3.12,0.75
太平區,22,2,1.25,0.3
太平區,23,7,4.38,1.05
新社區,5,2,13.33,3.2
新社區,7,1,6.67,1.6
新社區,9,1,6.67,1.6
新社區,11,2,13.33,3.2
新社區,14,1,6.67,1.6
新社區,15,2,13.33,3.2
新社區,16,1,6.67,1.6
新社區,17,1,6.67,1.6
新社區,20,2,13.33,3.2
新社區,22,1,6.67,1.6
新社區,23,1,6.67,1.6
東勢區,0,3,9.68,2.32
東勢區,1,2,6.45,1.55
東勢區,2,1,3.23,0.77
東勢區,3,2,6.45,1.55
東勢區,4,1,3.23,0.77
東勢區,6,1,3.23,0.77
東勢區,7,5,16.13,3.87
東勢區,8,2,6.45,1.55
東勢區,9,3,9.68,2.32
東勢區,11,1,3.23,0.77
東勢區,13,1,3.23,0.77
東勢區,14,2,6.45,1.55
東勢區,16,2,6.45,1.55
東勢區,21,2,6.45,1.55
東勢區,22,2,6.45,1.55
東勢區,23,1,3.23,0.77
東區,0,6,3.12,0.75
東區,1,9,4.69,1.12
東區,2,6,3.12,0.75
東區,3,7,3.65,0.88
東區,4,11,5.73,1.38
東區,5,9,4.69,1.12
東區,6,10,5.21,1.25
東區,7,12,6.25,1.5
東區,8,12,6.25,1.5
東區,9,4,2.08,0.5
東區,10,9,4.69,1.12
東區,11,6,3.12,0.75
東區,12,10,5.21,1.25
東區,13,9,4.69,1.12
東區,14,11,5.73,1.38
東區,15,4,2.08,0.5
東區,16,4,2.08,0.5
東區,17,11,5.73,1.38
東區,18,6,3.12,0.75
東區,19,8,4.17,1.0
東區,20,6,3.12,0.75
東區,21,6,3.12,0.75
東區,22,7,3.65,0.88
東區,23,9,4.69,1.12
梧棲區,0,1,1.89,0.45
梧棲區,1,1,1.89,0.45
梧棲區,2,2,3.77,0.91
梧棲區,3,1,1.89,0.45
梧棲區,4,3,5.66,1.36
梧棲區,5,2,3.77,0.91
梧棲區,6,5,9.43,2.26
梧棲區,7,6,11.32,2.72
梧棲區,8,3,5.66,1.36
梧棲區,9,1,1.89,0.45
梧棲區,10,3,5.66,1.36
梧棲區,11,2,3.77,0.91
梧棲區,12,3,5.66,1.36
梧棲區,14,3,5.66,1.36
梧棲區,15,2,3.77,0.91
梧棲區,16,3,5.66,1.36
梧棲區,17,1,1.89,0.45
梧棲區,18,3,5.66,1.36
梧棲區,19,4,7.55,1.81
梧棲區,21,2,3.77,0.91
梧棲區,22,1,1.89,0.45
梧棲區,23,1,1.89,0.45
沙鹿區,0,2,2.44,0.59
沙鹿區,1,5,6.1,1.46
沙鹿區,2,8,9.76,2.34
沙鹿區,3,3,3.66,0.88
沙鹿區,4,5,6.1,1.46
沙鹿區,5,2,2.44,0.59
沙鹿區,6,6,7.32,1.76
沙鹿區,7,5,6.1,1.46
沙鹿區,8,4,4.88,1.17
沙鹿區,9,1,1.22,0.29
沙鹿區,10,2,2.44,0.59
沙鹿區,11,4,4.88,1.17
沙鹿區,12,1,1.22,0.29
沙鹿區,13,3,3.66,0.88
沙鹿區,14,3,3.66,0.88
沙鹿區,15,2,2.44,0.59
沙鹿區,16,1,1.22,0.29
沙鹿區,17,4,4.88,1.17
沙鹿區,18,5,6.1,1.46
沙鹿區,19,4,4.88,1.17
沙鹿區,20,2,2.44,0.59
沙鹿區,21,3,3.66,0.88
沙鹿區,22,4,4.88,1.17
沙鹿區,23,3,3.66,0.88
清水區,0,3,3.8,0.91
清水區,1,2,2.53,0.61
清水區,2,3,3.8,0.91
清水區,3,1,1.27,0.3
清水區,4,4,5.06,1.22
清水區,5,2,2.53,0.61
清水區,6,2,2.53,0.61
清水區,7,9,11.39,2.73
清水區,8,7,8.86,2.13
清水區,10,2,2.53,0.61
清水區,11,2,2.53,0.61
清水區,12,4,5.06,1.22
清水區,13,3,3.8,0.91
清水區,14,3,3.8,0.91
清水區,15,3,3.8,0.91
清水區,16,3,3.8,0.91
清水區,17,6,7.59,1.82
清水區,18,7,8.86,2.13
清水區,19,5,6.33,1.52
清水區,20,1,1.27,0.3
清水區,21,3,3.8,0.91
清水區,22,3,3.8,0.91
清水區,23,1,1.27,0.3
潭子區,0,2,2.06,0.49
潭子區,1,2,2.06,0.49
潭子區,2,1,1.03,0.25
潭子區,3,4,4.12,0.99
潭子區,4,2,2.06,0.49
潭子區,5,2,2.06,0.49
潭子區,6,4,4.12,0.99
潭子區,7,2,2.06,0.49
潭子區,8,7,7.22,1.73
潭子區,9,5,5.15,1.24
潭子區,10,6,6.19,1.48
潭子區,11,1,1.03,0.25
潭子區,12,3,3.09,0.74
潭子區,13,4,4.12,0.99
潭子區,14,6,6.19,1.48
潭子區,15,5,5.15,1.24
潭子區,16,6,6.19,1.48
潭子區,17,5,5.15,1.24
潭子區,18,6,6.19,1.48
潭子區,19,4,4.12,0.99
潭子區,20,6,6.19,1.48
潭子區,21,3,3.09,0.74
潭子區,22,4,4.12,0.99
潭子區,23,7,7.22,1.73
烏日區,0,7,6.67,1.6
烏日區,1,2,1.9,0.46
烏日區,2,2,1.9,0.46
烏日區,3,4,3.81,0.91
烏日區,4,6,5.71,1.37
烏日區,5,2,1.9,0.46
烏日區,6,9,8.57,2.06
烏日區,7,1,0.95,0.23
烏日區,9,2,1.9,0.46
烏日區,10,6,5.71,1.37
烏日區,11,4,3.81,0.91
烏日區,12,5,4.76,1.14
烏日區,13,2,1.9,0.46
烏日區,14,5,4.76,1.14
烏日區,15,5,4.76,1.14
烏日區,16,4,3.81,0.91
烏日區,17,7,6.67,1.6
烏日區,18,8,7.62,1.83
烏日區,19,4,3.81,0.91
烏日區,20,6,5.71,1.37
烏日區,21,5,4.76,1.14
烏日區,22,4,3.81,0.91
烏日區,23,5,4.76,1.14
石岡區,2,1,16.67,4.0
石岡區,3,1,16.67,4.0
石岡區,10,1,16.67,4.0
石岡區,20,1,16.67,4.0
石岡區,22,1,16.67,4.0
石岡區,23,1,16.67,4.0
神岡區,1,3,3.75,0.9
神岡區,2,4,5.0,1.2
神岡區,3,3,3.75,0.9
神岡區,4,3,3.75,0.9
神岡區,5,3,3.75,0.9
神岡區,7,2,2.5,0.6
神岡區,8,8,10.0,2.4
神岡區,9,6,7.5,1.8
神岡區,10,7,8.75,2.1
神岡區,11,4,5.0,1.2
神岡區,12,1,1.25,0.3
神岡區,13,4,5.0,1.2
神岡區,14,3,3.75,0.9
神岡區,15,5,6.25,1.5
神岡區,16,3,3.75,0.9
神岡區,17,5,6.25,1.5
神岡區,18,2,2.5,0.6
神岡區,19,2,2.5,0.6
神岡區,20,7,8.75,2.1
神岡區,21,1,1.25,0.3
神岡區,22,2,2.5,0.6
神岡區,23,2,2.5,0.6
西區,0,11,6.79,1.63
西區,1,6,3.7,0.89
西區,2,8,4.94,1.19
西區,3,6,3.7,0.89
西區,4,5,3.09,0.74
西區,5,5,3.09,0.74
西區,6,5,3.09,0.74
西區,7,3,1.85,0.44
西區,8,3,1.85,0.44
西區,9,5,3.09,0.74
西區,10,6,3.7,0.89
西區,11,8,4.94,1.19
西區,12,16,9.88,2.37
西區,13,3,1.85,0.44
西區,14,9,5.56,1.33
西區,15,9,5.56,1.33
西區,16,10,6.17,1.48
西區,17,8,4.94,1.19
西區,18,8,4.94,1.19
西區,19,6,3.7,0.89
西區,20,4,2.47,0.59
西區,21,7,4.32,1.04
西區,22,4,2.47,0.59
西區,23,6,3.7,0.89
西區,65,1,0.62,0.15
西屯區,0,25,7.27,1.74
西屯區,1,16,4.65,1.12
西屯區,2,11,3.2,0.77
西屯區,3,13,3.78,0.91
西屯區,4,18,5.23,1.26
西屯區,5,8,2.33,0.56
西屯區,6,15,4.36,1.05
西屯區,7,10,2.91,0.7
西屯區,8,18,5.23,1.26
西屯區,9,10,2.91,0.7
西屯區,10,18,5.23,1.26
西屯區,11,16,4.65,1.12
西屯區,12,20,5.81,1.4
西屯區,13,11,3.2,0.77
西屯區,14,18,5.23,1.26
西屯區,15,15,4.36,1.05
西屯區,16,11,3.2,0.77
西屯區,17,9,2.62,0.63
西屯區,18,11,3.2,0.77
西屯區,19,11,3.2,0.77
西屯區,20,19,5.52,1.33
西屯區,21,15,4.36,1.05
西屯區,22,15,4.36,1.05
西屯區,23,11,3.2,0.77
豐原區,0,5,2.18,0.52
豐原區,1,11,4.8,1.15
豐原區,2,6,2.62,0.63
豐原區,3,12,5.24,1.26
豐原區,4,12,5.24,1.26
豐原區,5,8,3.49,0.84
豐原區,6,9,3.93,0.94
豐原區,7,11,4.8,1.15
豐原區,8,10,4.37,1.05
豐原區,9,15,6.55,1.57
豐原區,10,9,3.93,0.94
豐原區,11,9,3.93,0.94
豐原區,12,12,5.24,1.26
豐原區,13,10,4.37,1.05
豐原區,14,10,4.37,1.05
豐原區,15,7,3.06,0.73
豐原區,16,10,4.37,1.05
豐原區,17,10,4.37,1.05
豐原區,18,5,2.18,0.52
豐原區,19,8,3.49,0.84
豐原區,20,10,4.37,1.05
豐原區,21,9,3.93,0.94
豐原區,22,13,5.68,1.36
豐原區,23,8,3.49,0.84
霧峰區,0,1,1.37,0.33
霧峰區,2,6,8.22,1.97
霧峰區,3,3,4.11,0.99
霧峰區,4,3,4.11,0.99
霧峰區,5,4,5.48,1.32
霧峰區,6,2,2.74,0.66
霧峰區,7,1,1.37,0.33
霧峰區,8,2,2.74,0.66
霧峰區,9,9,12.33,2.96
霧峰區,10,6,8.22,1.97
霧峰區,11,3,4.11,0.99
霧峰區,12,1,1.37,0.33
霧峰區,13,2,2.74,0.66
霧峰區,14,4,5.48,1.32
霧峰區,15,5,6.85,1.64
霧峰區,16,3,4.11,0.99
霧峰區,17,2,2.74,0.66
霧峰區,18,3,4.11,0.99
霧峰區,19,2,2.74,0.66
霧峰區,20,5,6.85,1.64
霧峰區,21,3,4.11,0.99
霧峰區,22,1,1.37,0.33
霧峰區,23,2,2.74,0.66
龍井區,0,4,4.82,1.16
龍井區,1,1,1.2,0.29
龍井區,2,5,6.02,1.45
龍井區,3,2,2.41,0.58
龍井區,4,2,2.41,0.58
龍井區,6,6,7.23,1.73
龍井區,7,3,3.61,0.87
龍井區,8,6,7.23,1.73
龍井區,9,2,2.41,0.58
龍井區,10,5,6.02,1.45
龍井區,11,3,3.61,0.87
龍井區,12,6,7.23,1.73
龍井區,13,4,4.82,1.16
龍井區,14,4,4.82,1.16
龍井區,15,3,3.61,0.87
龍井區,16,4,4.82,1.16
龍井區,17,6,7.23,1.73
龍井區,18,2,2.41,0.58
龍井區,19,3,3.61,0.87
龍井區,20,2,2.41,0.58
龍井區,21,7,8.43,2.02
龍井區,22,1,1.2,0.29
龍井區,23,2,2.41,0.58
